Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
2870,156,11,511,24,1504,233,241,138,693,2
3093,321,6,67,0,2579,204,234,169,631,1
3129,110,6,300,83,5279,231,233,135,642,1
3227,323,5,402,-6,268,207,235,166,1293,2
3182,45,17,360,34,5380,222,200,106,2486,2
2787,1,16,255,48,484,195,208,149,2341,2
3201,30,9,721,56,1110,218,220,137,2177,1
3211,51,6,247,12,4944,223,227,139,2135,1
3011,185,10,400,-9,1342,222,247,158,1410,2
2382,143,21,108,18,433,245,230,103,1252,3
3004,41,13,108,19,3889,221,210,122,5487,2
3000,252,2,450,107,5385,214,240,164,888,2
3106,78,26,474,31,1463,242,182,54,3095,2
3386,81,11,731,176,693,235,221,117,212,7
2675,138,7,323,140,2292,231,238,139,926,3
2903,0,5,134,19,1865,212,230,156,1463,5
3121,66,13,350,1,2106,232,213,110,2455,1
2755,109,35,242,164,1276,254,178,20,912,2
2799,324,18,120,2,1705,172,218,184,2352,2
2895,127,17,150,31,2774,246,227,104,1920,2
3409,241,28,417,154,3384,156,249,221,696,1
2939,144,6,30,0,1451,229,239,143,391,2
2925,73,21,285,118,295,239,196,79,969,2
2677,8,3,210,7,1486,216,232,154,5610,2
2801,357,14,711,67,360,198,214,154,1020,2
2727,79,15,577,79,708,239,211,99,2694,2
2658,66,14,459,-24,684,233,211,107,1554,2
3037,96,7,371,62,2905,232,230,131,6580,1
3278,115,17,470,63,1931,247,221,95,2439,1
3032,180,15,242,29,2078,224,248,152,3944,1
2914,338,14,134,26,541,190,220,169,2471,1
3318,310,12,360,43,2576,187,232,185,830,1
3027,10,11,234,24,3780,208,218,146,2190,2
2291,14,27,228,102,323,184,174,116,484,2
3200,300,4,170,1,67,209,238,168,1377,1
3343,277,23,212,52,2212,150,237,223,2420,1
2947,136,15,210,32,1931,242,233,115,1570,1
3064,258,10,150,19,5571,197,246,188,2106,2
2822,108,18,90,-14,285,247,217,92,1531,2
3316,232,18,570,140,3349,187,253,199,2822,1
2771,106,15,42,3,2808,244,221,102,2221,5
2551,121,4,600,14,940,227,236,144,1167,3
1981,262,20,212,59,390,166,245,216,805,6
2623,121,37,67,39,1584,253,183,22,1128,2
3037,69,10,424,33,4057,231,221,122,4295,1
2726,161,13,85,13,2160,233,243,139,1377,2
2910,22,12,170,12,785,212,214,137,1988,1
3233,178,26,180,34,4178,222,244,139,3092,1
2845,322,12,95,7,1573,190,228,178,1283,5
2645,57,13,417,16,3123,228,211,114,2975,1
2900,32,6,376,45,3954,219,227,145,5609,2
3389,200,11,646,183,2147,216,250,167,1090,1
2852,106,7,30,2,1379,232,232,132,1406,1
3249,119,17,90,-6,4475,247,222,97,2185,1
2742,13,11,60,2,2589,209,217,144,4447,2
2915,100,11,300,105,300,238,225,116,659,2
2945,51,10,60,-2,1776,225,219,127,1549,2
2887,0,3,0,0,3154,215,233,156,2065,2
2811,54,19,124,33,3975,227,196,94,1075,2
2928,199,28,330,121,1790,197,250,171,932,2
3034,323,19,285,-6,1897,170,217,186,1648,2
2995,225,6,677,100,5958,212,246,171,6081,2
2649,334,18,67,28,1733,177,214,174,5005,2
3054,144,14,313,55,5269,239,236,123,3287,2
3131,131,29,402,140,430,252,210,64,1704,2
2630,2,26,150,65,1804,175,181,135,1405,2
3178,233,12,685,88,351,200,251,186,2821,2
3051,128,8,469,-11,212,233,235,134,1412,2
2757,100,7,270,24,2549,231,231,133,5735,2
3219,346,7,30,-3,4172,207,229,161,1167,1
2975,69,19,474,155,484,236,200,88,757,2
2955,125,11,454,-12,3382,239,232,122,5971,2
2239,21,29,108,0,469,189,166,100,769,6
3047,199,9,454,13,6481,217,248,165,3331,2
2894,24,3,297,13,1110,218,233,152,2320,2
2649,18,22,270,98,1650,197,187,120,1600,2
3077,90,2,255,40,1443,222,236,150,2728,1
2661,32,4,60,4,95,219,230,147,937,2
3142,74,8,60,0,960,230,226,129,2040,1
3046,23,7,0,0,3543,216,225,145,594,1
3257,48,26,258,78,4063,220,174,73,3195,1
2607,71,9,492,20,1291,230,223,126,4080,2
2939,18,2,212,-5,5955,217,234,154,3376,2
2988,132,7,108,6,4996,231,237,138,5038,2
3159,30,8,391,-56,2725,218,223,140,1537,1
2436,209,35,60,35,1414,173,247,185,732,3
2964,24,14,212,12,2313,212,209,131,2084,1
2841,118,9,192,23,2535,237,232,126,2802,2
2974,59,7,285,72,1652,226,226,134,2789,2
2757,111,19,212,29,1732,249,216,87,2490,2
3163,235,8,571,-43,424,207,247,178,1924,2
2455,50,4,0,0,870,221,231,146,674,6
3090,323,22,295,69,3610,160,212,189,2039,2
3136,266,6,0,0,1379,204,243,177,618,1
2706,106,7,0,0,1320,232,232,132,2455,2
3016,190,23,446,178,1106,213,250,160,457,2
2870,90,9,124,20,3922,235,225,121,6207,2
2619,90,9,90,15,1717,234,226,123,930,3
2669,20,29,120,40,2310,187,166,102,6990,1
2862,73,31,30,17,335,238,165,35,2412,2
2774,56,10,484,1,1956,227,218,124,2206,2
3418,314,15,404,72,5022,180,228,187,721,1
2280,97,24,120,66,1470,251,197,60,726,3
2509,337,16,190,40,95,184,217,171,466,2
2889,301,19,297,90,2207,163,228,203,1304,1
2919,121,18,180,25,4681,248,222,94,1682,2
2845,202,20,210,55,4261,207,253,174,5139,2
3135,15,11,242,41,641,210,216,142,1719,2
3053,24,9,127,39,127,215,220,141,757,2
2811,53,14,757,128,607,227,210,113,1295,2
2575,342,11,324,49,685,198,224,165,800,2
2982,317,8,108,25,3191,198,233,174,2041,2
3177,5,18,518,11,571,194,201,142,1806,1
2932,62,14,175,21,2176,231,211,110,467,1
2814,70,13,150,33,2040,234,213,108,2995,2
3130,83,6,324,34,5346,228,230,137,674,1
3088,333,7,365,34,2439,203,230,166,2106,1
3235,139,13,60,0,3000,240,235,123,2926,1
3211,94,16,95,24,1048,243,215,97,892,1
3027,211,13,361,49,5715,209,252,177,1954,1
2968,61,6,150,9,3586,225,228,137,1061,2
3291,344,11,741,100,6050,198,223,164,2823,2
2441,282,10,190,-8,977,191,241,189,124,6
2713,174,16,180,16,2048,228,246,146,379,3
3131,257,13,297,55,5708,190,247,195,2474,2
3124,288,1,124,6,2282,216,238,159,2014,1
2409,208,4,42,-1,742,217,243,162,1048,3
2825,105,22,516,192,2446,251,206,72,2023,3
3031,186,10,540,121,1917,222,247,158,2376,2
2770,246,3,150,0,1842,213,241,166,2779,2
3174,337,10,228,-3,1104,197,225,167,765,1
2030,100,19,175,70,212,248,210,82,400,3
2971,98,10,67,-2,4951,237,226,120,573,2
2855,297,16,150,31,2609,175,234,199,2338,1
3209,239,1,212,10,150,216,240,161,1273,1
3217,279,9,459,42,518,196,241,184,1006,2
2745,207,10,330,34,2180,214,249,170,2455,3
2856,318,6,67,7,3229,203,234,170,3137,2
2543,86,38,67,33,1691,244,151,0,1022,3
3262,2,7,741,114,5911,210,226,154,2651,2
3011,170,11,509,92,5632,228,245,148,3210,2
2733,28,6,430,34,108,218,228,146,797,5
2608,263,4,30,-3,742,210,241,170,1641,2
3153,323,22,361,77,3629,158,211,189,1425,1
2747,116,24,85,27,1333,252,210,72,2268,2
2807,59,19,95,3,3447,231,197,91,1772,2
2894,343,19,90,13,459,180,208,166,2397,2
2612,31,11,0,0,1342,217,216,133,2448,2
3148,56,7,134,0,1592,225,226,135,4560,1
3035,97,16,319,110,1523,244,215,96,1316,2
2978,22,13,404,59,5034,211,211,134,5716,1
2995,255,13,626,99,5769,190,248,195,5459,2
2833,56,5,458,43,1953,224,228,140,1879,2
3159,27,4,150,17,2536,218,230,149,1944,1
2323,285,15,150,39,1073,179,239,200,800,3
3051,255,25,577,-69,2125,156,246,223,1618,2
2228,87,29,30,14,1441,248,178,39,750,3
3176,139,17,67,-30,2510,243,233,113,2854,7
1978,94,42,120,70,134,245,143,0,459,3
2820,185,27,85,27,1201,214,247,149,2892,5
3239,359,14,990,222,2069,198,213,152,2213,7
3362,301,15,808,224,4045,176,232,196,2389,2
2972,59,18,30,-2,4609,231,200,96,2477,1
2364,273,22,120,35,150,155,240,221,648,3
2780,274,9,201,52,2430,195,243,187,150,1
3041,340,11,30,1,849,197,224,166,1732,1
3113,67,29,351,99,3237,234,169,47,1766,1
3139,28,4,404,-2,3258,218,232,150,4592,1
2923,224,23,95,46,1543,183,254,200,1068,2
3213,6,17,190,46,1890,196,204,142,2053,2
3071,355,5,256,40,4790,211,230,157,997,1
3217,176,11,313,31,2270,226,246,152,1637,2
3044,91,9,418,69,2839,235,226,122,6587,1
3370,63,8,693,41,997,227,224,131,4315,1
2981,43,10,0,0,3784,222,219,131,1633,2
2886,65,18,190,28,3237,234,201,93,4323,2
2652,80,16,342,5,1273,240,209,94,5643,2
2203,162,31,124,31,755,232,230,104,781,3
2680,93,29,95,48,124,250,183,40,732,5
1946,10,31,240,95,210,171,163,116,811,6
3368,123,8,671,71,1015,234,234,131,5522,1
3207,281,12,474,87,853,187,241,194,680,2
2720,353,15,108,34,1544,194,214,157,3189,2
3057,17,6,511,17,5028,215,228,150,457,2
3026,80,25,272,90,1626,244,186,57,2620,1
3009,311,15,242,55,532,179,229,189,778,2
2761,29,15,558,62,240,214,207,125,924,2
2646,158,18,242,8,633,236,240,127,1786,2
3423,313,8,1022,173,1250,199,234,175,1869,1
3263,210,5,865,126,2142,216,245,165,2147,1
3157,37,17,633,156,2296,217,202,115,2675,1
3506,267,19,277,104,3047,167,244,214,1831,1
2959,127,5,85,10,1885,229,237,142,175,2
3153,301,11,967,-49,1276,189,235,186,1320,1
3331,336,9,458,68,987,201,229,167,1261,1
3141,314,13,541,-5,2831,184,229,185,408,1
2964,166,7,342,9,5042,226,243,150,2221,1
3063,59,24,663,38,1987,230,182,71,2054,1
2961,280,20,134,24,5703,160,237,215,1855,1
3059,66,9,170,22,1239,229,221,124,2282,2
2937,66,10,0,0,1531,230,219,121,3378,1
2941,216,20,150,51,5078,195,254,189,1187,2
2089,320,11,150,85,242,191,229,178,594,3
2891,123,13,335,4,916,242,230,114,2533,2
3013,193,20,1061,148,3078,213,252,164,1403,2
3182,347,5,395,46,3087,210,231,160,1149,2
2974,252,35,30,13,2714,123,238,238,124,2
2655,234,31,42,21,768,152,248,220,1442,2
3079,135,6,60,0,858,229,237,142,1782,1
2509,77,21,127,34,1110,241,197,76,997,3
2978,315,1,420,116,2716,215,237,160,2356,2
2673,109,22,150,58,1461,251,208,72,2403,2
3086,146,7,484,-42,6310,230,239,142,2761,2
2821,59,12,210,29,4233,229,214,116,5372,1
3037,81,7,459,33,5600,230,227,129,4067,1
3156,83,6,330,94,4128,229,230,135,824,2
3146,39,10,190,46,5379,221,217,130,297,1
2972,112,10,424,102,2906,238,229,121,1710,2
3238,182,17,228,45,767,223,249,153,1092,1
3145,355,3,256,45,5393,215,234,157,324,1
2613,61,15,212,63,175,231,207,104,1055,2
2282,352,32,85,47,918,149,168,145,1189,6
2461,57,27,30,18,824,227,173,63,499,2
2961,316,34,335,190,789,114,191,207,1276,1
2934,131,13,150,17,5145,241,232,118,2469,2
3035,20,15,85,7,1224,208,206,132,1350,2
2965,20,10,108,25,2998,214,220,142,1415,1
3359,230,33,691,183,3342,151,248,216,2758,1
2831,147,11,42,8,2654,235,239,134,2758,2
2937,318,6,0,0,4778,205,235,169,2058,5
2136,339,26,42,15,765,154,192,171,511,3
3261,51,6,598,113,845,223,226,138,2026,2
2883,101,6,277,57,2652,230,232,135,2184,2
2789,54,12,474,-17,900,227,213,117,2568,2
2937,108,12,564,49,2007,240,226,115,2714,2
2991,267,15,212,36,5622,181,245,202,2335,1
2765,16,11,201,-5,285,211,217,142,920,2
2767,49,9,524,37,2605,224,221,131,1979,2
2936,326,14,170,26,3503,185,224,178,2493,2
2925,200,11,395,42,2610,216,250,167,2202,2
3128,6,5,577,55,1848,214,230,154,2630,1
2401,90,28,90,30,774,249,185,46,1142,3
2982,266,12,564,0,4502,190,245,194,4996,2
3254,29,15,750,111,2292,213,206,125,2287,1
3148,349,11,150,21,2789,199,221,160,671,1
2988,28,14,180,43,3093,214,209,128,1418,1
2832,313,9,30,7,2413,196,233,177,2160,1
2742,70,10,330,107,907,231,221,123,957,2
2781,9,3,360,54,2069,216,233,154,1406,2
2737,192,23,190,120,2248,212,251,162,579,2
3109,258,10,108,11,3665,195,246,189,908,1
3124,355,11,371,87,2584,202,221,156,1273,1
3220,274,13,319,50,2906,184,243,198,752,1
3023,31,11,285,52,4412,217,217,134,871,1
2980,280,19,242,78,900,166,239,211,990,2
3368,63,8,618,97,1209,228,223,128,2627,1
2529,8,13,67,5,2032,205,214,145,2040,2
2207,307,31,212,119,828,123,205,215,942,6
2879,0,8,335,66,3526,209,226,155,2906,2
2922,39,23,242,115,1804,214,183,93,2630,2
2724,18,12,350,101,2551,211,215,140,1410,2
2570,321,31,150,78,806,125,192,199,335,6
3096,48,20,450,27,3600,223,191,94,4763,1
2734,27,6,30,-3,256,217,226,145,1230,2
3051,330,32,540,125,2105,129,184,185,1320,2
3201,18,10,242,36,4402,213,220,143,3360,1
3232,16,21,108,25,1921,197,191,125,2084,2
2752,348,6,350,62,1482,209,231,160,1966,3
2867,70,6,0,0,1867,226,229,137,2423,2
3215,218,20,824,1,426,195,254,190,2576,2
3210,117,14,120,56,1302,243,227,110,1834,1
3261,280,18,295,43,626,168,239,209,1115,1
3237,25,9,485,13,6236,216,221,141,1024,1
2321,63,5,0,0,1082,225,229,139,1399,4
3059,12,36,404,157,2097,160,143,99,1824,2
2838,174,23,247,69,3599,226,244,137,1489,2
2665,232,8,390,-16,1476,208,247,177,5844,2
2895,159,13,247,72,2099,233,242,137,994,5
2626,99,16,443,-13,716,244,217,97,607,3
3095,34,12,726,-2,1907,218,213,129,3208,1
3237,0,26,443,86,3042,172,181,139,759,1
2603,125,17,324,87,819,246,226,102,1634,3
2698,54,4,277,20,2272,222,230,143,1800,6
2738,223,21,210,43,1431,187,254,197,1259,2
3123,315,9,0,0,1896,196,233,176,1945,2
3299,34,17,95,-1,3470,215,200,116,2802,7
2427,333,14,420,121,1104,186,221,174,1184,6
2507,73,10,511,29,899,232,221,121,3894,2
3020,342,1,0,0,4188,217,237,157,1048,2
2966,107,18,201,74,3596,247,216,90,2856,2
2824,341,24,30,18,2585,163,197,168,450,1
3038,37,5,42,0,4230,220,229,146,2470,2
3002,187,17,886,202,2760,220,250,158,1425,2
3132,129,16,162,32,3765,244,229,108,2916,1
2619,12,31,30,13,2130,172,160,110,7168,2
2709,117,4,285,14,2105,227,236,143,4308,2
2978,147,11,150,6,4750,235,239,133,4957,2
2672,56,14,180,-5,1852,228,211,113,1554,2
2912,193,6,335,66,1989,220,245,161,1146,2
2811,129,21,95,20,4052,249,222,91,5250,2
3019,155,8,646,109,2163,230,241,144,2484,2
2968,29,7,108,9,4440,218,224,142,3628,2
3010,309,16,404,90,4766,173,227,194,1822,2
2891,42,17,42,-2,3411,220,199,109,1674,2
2966,89,18,323,153,335,244,207,85,1201,2
3203,164,10,886,79,3171,229,243,146,2644,2
3311,293,13,636,160,3102,184,237,193,768,1
2897,336,19,60,25,582,175,211,173,1774,2
2664,229,15,30,0,1909,196,253,191,424,3
2948,294,18,218,65,2896,167,233,205,2301,2
3114,38,22,631,122,2225,215,187,98,2590,1
3202,233,14,636,142,6120,197,252,191,1637,2
2898,355,8,175,21,1932,207,226,157,1061,2
3149,0,18,636,122,3963,191,204,148,2630,2
3190,99,20,350,35,1430,249,207,78,1634,2
2833,94,10,120,9,2226,236,225,119,2455,2
2872,147,17,150,31,3031,241,236,118,3148,2
2887,173,22,90,17,1050,227,245,138,1963,2
2925,350,16,42,7,1061,190,212,159,2234,1
3101,23,20,934,232,2700,204,192,118,2044,2
3110,191,15,228,22,1905,218,250,162,362,2
2954,12,32,277,-21,5152,171,158,108,1387,2
2973,343,18,95,17,524,181,210,165,1215,2
2577,89,23,272,57,997,247,197,66,771,3
2883,263,23,277,122,1907,157,244,222,1516,2
3214,353,6,90,-11,4280,210,230,158,1064,1
2849,158,22,424,148,1836,238,237,117,2101,2
3069,123,17,150,39,2250,246,225,101,3423,1
2665,100,12,0,0,1381,239,224,113,721,2
3168,8,7,300,33,3006,212,227,152,1082,2
3135,61,11,175,34,4698,229,218,121,1822,1
3030,351,11,120,19,3538,199,221,159,811,1
3060,315,1,391,69,5796,216,237,159,4724,2
3046,143,16,30,-16,849,241,235,119,1736,2
2781,56,7,212,26,1934,225,225,134,2850,2
3140,43,8,30,0,3231,222,222,136,765,2
2934,272,34,391,123,2731,113,227,242,540,2
2557,36,13,277,31,674,219,211,125,883,2
3166,90,8,0,0,721,232,228,129,2264,1
2480,289,14,216,37,300,181,238,197,1956,3
3278,95,17,210,-19,2474,245,213,91,3814,1
3348,27,15,153,35,2151,212,206,126,2202,1
3263,315,5,362,-10,892,206,236,168,3157,2
3389,292,8,382,36,1666,199,239,180,703,7
2668,78,10,360,18,1431,233,222,120,5958,2
3209,233,5,240,25,499,212,244,169,1471,1
2451,178,5,201,1,999,223,243,155,1275,3
3113,280,15,242,27,1233,177,241,203,2623,1
2721,345,5,258,54,1110,211,232,160,1951,2
3047,73,21,641,230,722,239,194,76,940,2
3198,342,13,170,26,4750,192,219,166,1426,1
3080,240,9,433,-12,6034,203,248,182,2825,2
2685,133,10,216,3,1888,237,235,128,2518,6
3261,51,10,853,84,1702,225,218,126,2569,2
2763,59,16,210,105,1315,231,205,102,2067,2
2151,301,17,30,0,1252,172,231,198,612,6
3009,61,18,175,40,5219,232,200,94,698,2
3319,90,22,331,40,1727,247,199,69,1795,1
3038,210,8,180,-34,671,214,248,169,1639,2
2754,116,13,60,6,1691,242,227,112,1664,1
3011,346,4,120,25,997,212,233,159,2347,2
3213,333,20,402,47,684,171,210,177,1866,1
2861,216,21,300,104,2206,194,254,189,658,5
2071,93,28,30,7,510,250,184,42,591,6
2792,158,25,95,23,4054,238,235,111,5397,2
3184,270,4,175,26,5727,208,241,171,2138,2
2934,322,16,190,8,1425,177,222,184,1398,2
2948,139,25,212,54,904,248,223,88,2843,2
2774,17,10,180,25,1959,212,219,144,2300,2
2986,315,2,424,4,1802,214,237,161,1200,1
2841,85,8,0,0,1445,232,227,128,2420,1
2688,106,18,323,8,1231,247,216,91,3655,2
2972,90,8,162,20,4564,233,227,127,5560,2
2906,104,30,180,-21,242,253,186,36,671,1
2703,8,11,134,38,2550,207,218,147,808,2
3052,234,4,309,26,703,213,243,168,849,1
2929,347,11,30,8,3976,198,222,162,4945,2
3054,127,16,424,187,6148,245,228,106,3964,2
2841,261,31,120,64,2335,131,238,236,1694,1
2961,70,18,400,156,2821,237,203,91,1364,2
3237,15,19,95,37,3139,199,196,129,247,7
3107,76,11,127,12,5516,234,220,117,1024,1
2788,293,2,67,4,2308,214,238,162,1323,2
3363,63,17,685,153,618,233,202,96,134,7
3176,351,11,631,63,1873,201,222,159,2529,1
3139,351,7,306,-38,768,207,227,159,1100,1
3180,229,22,997,-89,4175,182,254,202,1260,2
2857,165,21,510,69,1560,233,241,128,1523,2
3109,180,9,216,31,127,224,246,155,3529,2
3014,267,12,674,105,5944,189,245,195,3395,2
3265,272,22,454,149,1120,157,240,220,1994,2
3141,117,15,124,3,1809,244,225,106,2047,1
3239,307,9,182,36,4602,194,235,180,603,1
2985,339,7,124,18,1921,206,231,163,630,2
3106,189,13,30,-6,6273,220,250,161,2317,1
2572,26,21,90,5,902,204,188,113,1020,2
2746,68,27,182,96,190,236,177,56,1627,2
2621,75,16,324,57,1150,238,208,97,618,2
3261,345,14,192,56,2816,191,217,164,2541,1
3142,28,13,379,35,5643,215,212,132,782,1
3044,34,7,541,190,6405,219,225,142,3870,2
2740,70,7,391,23,492,228,226,132,2716,2
3089,355,5,630,88,2144,211,230,157,2547,1
3179,305,27,277,109,4284,136,214,213,1075,2
2127,263,30,182,125,323,131,238,236,182,3
3134,301,7,592,97,2893,201,237,176,443,1
2865,351,23,190,22,210,173,195,155,1674,1
2979,311,13,750,333,1570,184,231,186,2001,2
3071,82,12,201,29,808,237,219,111,2041,2
3389,282,13,424,85,3613,182,240,198,1637,7
2885,91,14,30,5,3601,241,217,102,5046,1
3210,261,11,481,100,1387,192,246,193,2546,1
2999,141,13,255,48,4847,238,236,125,1490,2
3250,125,10,484,39,966,237,233,126,2287,2
3081,103,4,362,38,5028,227,234,141,1767,1
2739,18,13,560,82,598,210,213,138,787,2
3169,78,10,60,9,1033,233,222,120,1358,1
2677,3,4,371,84,1123,214,232,155,1207,2
3066,314,13,192,7,3734,185,230,185,859,1
3040,232,8,42,7,1710,208,247,177,1340,1
2982,45,12,242,-5,4324,223,214,123,3569,1
2756,16,28,384,-30,3001,185,170,110,2465,1
2487,57,25,108,10,900,227,178,70,942,3
3232,75,13,330,67,3245,236,214,107,2163,1
3222,53,20,212,64,1528,227,192,90,2308,1
3200,301,16,90,40,4871,173,231,198,875,1
3122,79,5,60,0,1207,226,231,139,2418,1
2194,340,17,30,0,1434,183,214,169,576,6
2054,312,32,234,133,258,119,199,211,516,3
2928,18,16,108,29,2287,206,205,133,1950,1
2640,322,10,60,4,1350,194,230,176,127,2
2521,226,28,60,1,1087,169,252,207,604,3
3404,282,10,1082,168,1201,193,241,188,1983,1
2585,145,21,42,14,1575,244,232,107,1172,3
3174,32,8,277,26,2643,219,224,141,1976,1
3370,310,4,95,10,2652,209,237,167,2364,7
2913,75,7,351,0,4651,228,228,133,4184,2
